"
        Apache License, Version 2.0
      ";.*;org.osgi:org.osgi.core
3-Clause BSD License;.*;com.google.protobuf:protobuf-java
allowedLicenses.moduleLicense;allowedLicenses.moduleVersion;allowedLicenses.moduleName
Apache 2.0;.*;com.google.code.gson:gson
Apache 2.0;.*;com.google.errorprone:error_prone_annotations
Apache 2.0;.*;net.sf.ucanaccess:ucanaccess
Apache 2.0 License;.*;org.apache.mina:mina-core
Apache License 2.0;.*;io.swagger.core.v3:swagger-annotations
Apache License 2.0;.*;io.swagger.core.v3:swagger-core
Apache License 2.0;.*;io.swagger.core.v3:swagger-integration
Apache License 2.0;.*;io.swagger.core.v3:swagger-jaxrs2
Apache License 2.0;.*;io.swagger.core.v3:swagger-models
Apache License 2.0;.*;org.javassist:javassist
Apache License 2.0;.*;jakarta.validation:jakarta.validation-api
Apache License 2.0;.*;org.jboss.resteasy:resteasy-client
Apache License 2.0;.*;org.jboss.resteasy:resteasy-client-api
Apache License 2.0;.*;org.jboss.resteasy:resteasy-core
Apache License 2.0;.*;org.jboss.resteasy:resteasy-core-spi
Apache License 2.0;.*;org.jboss.resteasy:resteasy-jackson2-provider
Apache License 2.0;.*;org.jboss.resteasy:resteasy-jaxb-provider
Apache License 2.0;.*;org.jboss.resteasy:resteasy-jaxrs
Apache License 2.0;.*;org.jboss.resteasy:resteasy-multipart-provider
Apache License, Version 2.0;.*;com.fasterxml.jackson.core:jackson-core
Apache License, Version 2.0;.*;com.fasterxml.jackson.core:jackson-databind
Apache License, Version 2.0;.*;com.fasterxml.jackson.dataformat:jackson-dataformat-csv
Apache License, Version 2.0;.*;com.fasterxml.jackson.dataformat:jackson-dataformat-xml
Apache License, Version 2.0;.*;com.fasterxml.jackson.module:jackson-module-jaxb-annotations
Apache License, Version 2.0;.*;com.github.stephenc.jcip:jcip-annotations
Apache License, Version 2.0;.*;com.google.guava:guava
Apache License, Version 2.0;.*;com.healthmarketscience.jackcess:jackcess
Apache License, Version 2.0;.*;commons-codec:commons-codec
Apache License, Version 2.0;.*;commons-io:commons-io
Apache License, Version 2.0;.*;commons-lang:commons-lang
Apache License, Version 2.0;.*;commons-logging:commons-logging
Apache License, Version 2.0;.*;io.smallrye.config:smallrye-config
Apache License, Version 2.0;.*;io.smallrye.config:smallrye-config-common
Apache License, Version 2.0;.*;log4j:log4j
Apache License, Version 2.0;.*;net.sf.ucanaccess:ucanaccess
Apache License, Version 2.0;.*;org.apache.commons:commons-configuration2
Apache License, Version 2.0;.*;org.apache.commons:commons-lang3
Apache License, Version 2.0;.*;org.apache.commons:commons-text
Apache License, Version 2.0;.*;org.apache.httpcomponents:httpclient
Apache License, Version 2.0;.*;org.apache.httpcomponents:httpcore
Apache License, Version 2.0;.*;org.apache.james:apache-mime4j-core
Apache License, Version 2.0;.*;org.apache.james:apache-mime4j-dom
Apache License, Version 2.0;.*;org.apache.james:apache-mime4j-storage
Apache License, Version 2.0;.*;org.eclipse.microprofile.config:microprofile-config-api
Apache License, Version 2.0;.*;org.osgi:org.osgi.core
Apache License, Version 2.0;.*;org.xerial:sqlite-jdbc
Apache License, Version 2.0;.*;org.yaml:snakeyaml
Apache License, Version 2.0;.*;org.eclipse.jetty.http2:http2-common
Apache License, Version 2.0;.*;org.eclipse.jetty.http2:http2-hpack
Apache License, Version 2.0;.*;org.eclipse.jetty.http2:http2-server
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-alpn-java-server
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-alpn-server
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-continuation
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-http
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-io
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-jaas
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-security
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-server
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-servlet
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-servlets
Apache License, Version 2.0;.*;org.eclipse.jetty:jetty-util
Apache License, Version 2.0;.*;org.jboss.logging:jboss-logging
Apache License, version 2.0;.*;org.jboss.logging:jboss-logging
Apache License, Version 2.0;.*;org.eclipse.jetty.toolchain:jetty-servlet-api
Apache License, Version 2.0;.*;io.smallrye.common:smallrye-common-annotation
Apache License, Version 2.0;.*;io.smallrye.common:smallrye-common-classloader
Apache License, Version 2.0;.*;io.smallrye.common:smallrye-common-constraint
Apache License, Version 2.0;.*;io.smallrye.common:smallrye-common-expression
Apache License, Version 2.0;.*;io.smallrye.common:smallrye-common-function
Apache License, Version 2.0;.*;io.smallrye.config:smallrye-config-core
Apache License, Version 2.0;.*;org.apache.commons:commons-collections4
Apache License, Version 2.0;.*;org.apache.directory.api:api-asn1-api
Apache License, Version 2.0;.*;org.apache.directory.api:api-asn1-ber
Apache License, Version 2.0;.*;org.apache.directory.api:api-i18n
Apache License, Version 2.0;.*;org.apache.directory.api:api-ldap-model
Apache License, Version 2.0;.*;org.apache.directory.api:api-util
Apache License, Version 2.0;.*;org.apache.mina:mina-core
Apache License, Version 2.0;.*;org.apache.servicemix.bundles:org.apache.servicemix.bundles.antlr
Apache License, Version 2.0;.*;org.codehaus.plexus:plexus-utils
Apache License, Version 2.0;.*;org.codehaus.plexus:plexus-utils
Apache Software License - Version 2.0;.*;org.eclipse.jetty.http2:http2-common
Apache Software License - Version 2.0;.*;org.eclipse.jetty.http2:http2-hpack
